期間,20230508,20230630
回送983,down,◆,5月8・19・28日運転
のぞみ271,down,☆,N700S車両で運転
こだま761,down,☆,N700S車両で運転
のぞみ491,down,◆,5月8・13・15・20・22・27・29日・6月3・5・10・12・17・19・24・26日運転
ひかり535,down,◆,5月8～31日、6月1～30日は運休
ひかり535,down,◆,5月8～31日・6月1～30日運転
のぞみ103,down,◆,5月[13]・[19]・[20]・[26]・[27]日・6月[10]・[17]・[24]日運転
のぞみ201,down,◆,休日運休
のぞみ287,down,◆,6月[2]・[3]・[9]・16・[23]日運転
のぞみ7,down,☆,N700S車両で運転
のぞみ203,down,◆,5月20・27日は運休
のぞみ107,down,◆,5月20・27日運転
ひかり671,down,◆,5月8～31日、6月1～30日は運休
ひかり501,down,◆,5月8～31日・6月1～30日運転
のぞみ291,down,◆,5月8・[11]・[16]・[17]・[18]・[22]・23～25・[27]・[29]・31日・6月1・[2]・3・5・[6]・7・[8]・[9]・[10]・12・[13]・[14]・15・[16]・17・19・[20]・[21]・[22]・24・26・[30]日運転
のぞみ293,down,◆,5月[13]・[19]・[20]・[26]・[27]日・6月[10]・[17]・[24]日運転
のぞみ205,down,◆,休日と5月12・13・19・20・26・27日、6月2・3・9・10・16・17・23・24日は運休・但し、5月14・21・28日・6月4・11・18・25日は運転
のぞみ109,down,◆,5月12・13・19・20・26・27日・6月2・3・9・10・16・17・23・24日運転
のぞみ295,down,◆,6月[10]日運転
こだま705,down,☆,N700S車両で運転
のぞみ11,down,☆,N700S車両で運転
のぞみ297,down,◆,5月12・13・19・20・[25]・26・27日・6月2・3・9・10・16・17・23・24日運転
のぞみ113,down,◆,5月[15]・[18]日・6月[15]・[22]日運転
のぞみ303,down,◆,5月8・[11]・[13]・[15]・16～18・[19]・20・[22]・23～25・[26]・27・[29]・31日・6月1～3・5～10・12～17・19～24・26～30日運転
のぞみ15,down,☆,N700S車両で運転
のぞみ305,down,◆,5月[13]・[20]・[25]・[27]日・6月[3]・[8]・[10]・[15]・[16]・17・[22]・24日運転
のぞみ209,down,◆,休日と5月13・20・26・27日、6月3・10・17・24日は運休・但し、5月[14]・[21]・[28]日・6月4・[11]・18・25日は運転
のぞみ115,down,◆,5月13日・6月10・17・24日運転
のぞみ115,down,◆,5月20・26・27日・6月3日運転
のぞみ307,down,◆,6月[17]日運転
のぞみ211,down,◆,休日運休・但し、6月[25]日は運転
のぞみ309,down,◆,6月[9]日運転
のぞみ119,down,◆,6月[10]・[24]日運転
のぞみ311,down,◆,5月13・[17]・[18]・[20]・24・[25]・[27]日・6月[2]・3・7・9・10・[15]・16・17・[23]・24日運転
のぞみ313,down,◆,5月[12]・14・[19]・[20]・21・[26]・[27]・28日・6月4・11・18・25日運転
のぞみ213,down,◆,5月26日は運休
のぞみ121,down,◆,5月26日運転
のぞみ315,down,◆,5月[11]・13・[16]・[17]・[18]・[19]・20・[23]・24・[25]・[26]・27・31日・6月2・3・6～10・[12]・13～17・[19]・20～24・[26]・[27]・[28]・[29]・[30]日運転
のぞみ19,down,☆,N700S車両で運転
のぞみ317,down,◆,5月8～11・[13]・15～18・[20]・22～25・[27]・29～31日・6月1・[3]・5～8・[10]・12～15・[17]・19～22・[24]・26～29日運転
のぞみ215,down,◆,休日運休・但し、5月[14]・[21]・[28]日・6月[4]・[18]・25日は運転
のぞみ319,down,◆,5月[20]日・6月[3]・[10]・[17]・[24]日運転
のぞみ325,down,◆,5月[13]・20・[27]日・6月[2]・3・[9]・10・[16]・17・[23]・24日運転
のぞみ327,down,◆,5月13・17・18・[19]・20日・6月14・[16]・17・20～22・[23]・24・[27]・[28]・[29]・[30]日運転
のぞみ23,down,☆,N700S車両で運転
のぞみ329,down,◆,5月[27]日・6月[3]・[10]日運転
のぞみ221,down,◆,休日運休・但し、5月[14]・[21]・[28]日・6月4・[11]・18・25日は運転
こだま717,down,☆,N700S車両で運転
のぞみ223,down,◆,5月[11]・12・13・16・19・20・22～27・29～31日・6月2・3・5・6・8～10・12・13・15～17・[19]・23・24・26・30日運転
のぞみ337,down,◆,5月[13]・[20]・[26]・27日・6月[2]・3・[9]・[10]・17・[24]日運転
のぞみ339,down,◆,5月[13]・[20]日・6月[10]・[17]・[24]日運転
のぞみ27,down,☆,N700S車両で運転
のぞみ341,down,◆,5月13・20・[26]・27日・6月[2]・3・[9]・[10]・[16]・17・[23]・24・[30]日運転
のぞみ347,down,◆,5月12・13・[14]・16・17・[18]・19・20・[21]・22・23・25～27・[28]・29～31日・6月2～6・[7]・8～10・[11]・12～19・[20]・[21]・22～25・[27]・[28]・[29]・30日運転
のぞみ69,down,☆,N700S車両で運転
のぞみ361,down,◆,5月[13]・[20]・[26]・[27]日・6月[10]・[17]・[24]日運転
こだま725,down,☆,N700S車両で運転
